lca_id,used_in_sampleset,emission_factor_s1_per_euro,emission_factor_s2_per_euro,emission_factor_s3_per_euro,emission_factor_per_euro,nace_2_list,nace_section_list
50bffdd7-66ae-4af2-9b0a-1ff640c603fd,true,0.008709,0.010572,0.076197,0.09547800000000001,"[""C13"",""C16"",""C22"",""C25""]","[""Manufacturing""]"
6999a8a0-8e4e-4c24-8521-752c0bd8a1d3,false,0.005975,0.009627,0.138897,0.154499,"[""C28""]","[""Manufacturing""]"
992317df-e80e-40ce-8836-33a17a655f99,true,0.015596,0.018933,0.136462,0.170991,"[""C13""]","[""Manufacturing""]"
f87fc02e-0eb8-4f2a-a6ad-1d3678d17a45,true,0.025205,0.033521,0.21729,0.27601600000000004,"[""C22""]","[""Manufacturing""]"
c8caf555-f567-4a87-9501-1aefbd5ce2cf,true,0.01877,0.018545,0.062502,0.099817,"[""G46"",""G47"",""S95""]","[""Other service activities"",""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
b463a32a-cc9c-465b-ab15-f6c7265ca877,true,0.078797,0.014469,0.116783,0.21004899999999999,"[""C11"",""C20""]","[""Manufacturing""]"
03449d65-a5de-4f9e-af76-ca456c4d2d1a,true,0.023504,0.023221,0.078263,0.124988,"[""G46""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
a31bdd8b-8a73-4627-a451-1baf99135051,true,0.022555,0.019041,0.052145,0.09374099999999999,"[""P85""]","[""Education""]"
c61a78d0-5c46-4b95-93c8-ddbc2edb42b5,true,0.023504,0.023221,0.078263,0.124988,"[""G46""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
4a6327e8-c6e5-4984-b844-b40b3dd1774b,true,0.018226,0.008113,0.165484,0.191823,"[""F43""]","[""Construction""]"
89686e02-5550-4dc8-9820-3578d086217c,true,0.022555,0.019041,0.052145,0.09374099999999999,"[""P85""]","[""Education""]"
80cf7415-317a-4dbe-a328-76d3884f423e,true,0.00663,0.00444,0.137354,0.148424,"[""C25"",""C27"",""C28"",""C30"",""C32""]","[""Manufacturing""]"
a6ab1d94-9f42-432d-9535-9e01325be09a,true,0.073592,0.014429,0.079498,0.167519,"[""B08""]","[""Mining and quarrying""]"
bd2d1ad4-250f-4fec-9910-2fb65f7cef7f,true,0.006109,0.009844,0.142018,0.157971,"[""C28""]","[""Manufacturing""]"
fd3078e5-298a-4936-b2ad-68062dce0ec2,true,0.013681,0.009782,0.176172,0.199635,"[""C28"",""C29""]","[""Manufacturing""]"
15803630-f45c-4614-8936-08d1618b9486,true,0.021028,0.02435,0.313964,0.35934200000000005,"[""C24"",""C25""]","[""Manufacturing""]"
af7f3f23-7f4b-4616-8053-26dd1f6c24b7,true,0.018226,0.008113,0.165484,0.191823,"[""F43""]","[""Construction""]"
fef8f90e-844d-484a-b60d-caf1b35c6560,true,0.003695,0.00441,0.061333,0.069438,"[""C26""]","[""Manufacturing""]"
392ce027-5f4e-4e7e-8ac6-63ed24b45ddb,true,0.011619,0.014306,0.063477,0.08940200000000001,"[""M71""]","[""Professional, scientific and technical activities""]"
5130f4ba-528a-455b-b3d0-de527b9e3fee,false,0.070161,0.013756,0.075791,0.15970800000000002,"[""B08""]","[""Mining and quarrying""]"
e2c7c8a2-1d95-47d3-ae82-7d8c7b4b51a6,true,0.002561,0.017011,0.063754,0.08332600000000001,"[""J61""]","[""Information and communication""]"
e8f663c4-8102-4cf4-905f-de72e5dd66cb,true,2.219883,0.192786,0.925561,3.33823,"[""C23""]","[""Manufacturing""]"
7d2b905d-d687-4983-a80e-d64cf7ae475f,true,0.029869,0.02951,0.09946,0.158839,"[""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
e863494d-b7d5-4c6e-815c-f2875c727f47,true,0.070161,0.013756,0.075791,0.15970800000000002,"[""B08""]","[""Mining and quarrying""]"
7860a5e6-dcb1-461b-a66f-d949745e646c,true,0.026677,0.036866,0.123072,0.186615,"[""Q88""]","[""Human health and social work activities""]"
df3b0c6e-fc9b-40d7-a549-d3cd239979c8,true,0.003491,0.005625,0.081153,0.090269,"[""C22"",""C28"",""C32""]","[""Manufacturing""]"
0c911fd4-bcb1-4644-9268-c1eee52f6da9,true,0.030693,0.011519,0.229465,0.271677,"[""C10""]","[""Manufacturing""]"
